HP;1.5;500;
HP;1.6;500;
HP;1.7;500;
HP;1.8;500;
HP;1.9;500;
HP;2;500;
HP;2.1;500;
HP;2.2;500;
HP;2.3;500;
HP;2.4;500;
HP;2.5;500;
HP;2.6;500;
HP;2.7;500;
HP;2.8;500;
HP;2.9;500;
HP;3;256;
HP;3.1;256;
HP;3.2;256;
HP;3.3;256;
HP;3.4;256;
HP;3.5;256;
HP;3.6;256;
HP;3;256;
HP;3.1;256;
HP;3.2;256;
HP;3.3;256;
HP;3.4;256;
HP;3.5;256;
HP;3.6;256;
HP;1.9;500;
HP;2;500;
HP;2.1;500;
HP;2.2;256;
HP;2.3;256;
HP;2.4;256;
HP;2.5;256;
HP;2.6;256;
DELL;2.7;500;
DELL;3;500;
DELL;3.1;500;
DELL;3.2;256;
DELL;3.3;256;
DELL;3.4;256;
DELL;3.5;256;
DELL;3.6;256;
DELL;3;500;
DELL;3.1;500;
DELL;3.2;500;
DELL;3.3;256;
DELL;3.4;256;
DELL;3.5;256;
DELL;3.6;256;
DELL;1.9;256;
DELL;2;500;
DELL;2.1;500;
DELL;2.2;500;
DELL;2.3;256;
DELL;2.4;256;
DELL;2.5;256;
DELL;2.6;256;
DELL;2.7;256;
DELL;3;500;
DELL;3.1;500;
DELL;3.2;500;
DELL;3.3;256;
DELL;3.4;256;
DELL;3.5;256;
DELL;3.6;256;
DELL;3;256;
DELL;3.1;500;
DELL;3.2;500;
DELL;3.3;500;
DELL;3.4;256;
ASUS;3.5;256;
ASUS;3.6;256;
ASUS;1.9;256;
ASUS;2;256;
ASUS;2.1;500;
ASUS;2.2;500;
ASUS;2.3;500;
ASUS;2.4;256;
ASUS;2.5;256;
ASUS;2.6;256;
ASUS;2.7;256;
ASUS;1.5;256;
ASUS;1.6;500;
ASUS;1.7;500;
ASUS;1.8;500;
ASUS;1.9;256;
ASUS;2;256;
ASUS;2.1;256;
ASUS;2.2;256;
ASUS;2.3;256;
ASUS;2.4;500;
ASUS;2.5;500;
ASUS;2.6;500;
ASUS;2.7;256;
ASUS;2.8;256;
ASUS;1.5;256;
ASUS;1.6;256;
ASUS;1.7;256;
ASUS;1.8;500;
ASUS;1.9;500;
ASUS;2;500;
ASUS;2.1;500;
ASUS;2.2;500;
ASUS;2.3;500;
ASUS;2.4;500;
ASUS;2.5;500;
ASUS;2.6;500;
ASUS;2.7;500;
ASUS;2.8;500;
ASUS;2;500;
ASUS;2.1;256;
ASUS;2.2;256;
ASUS;2.3;256;
ASUS;2.4;256;
ASUS;2.5;256;
ASUS;2.6;256;
ASUS;2.7;256;
ASUS;2.8;256;
ASUS;2.9;256;
ASUS;3;256;
ASUS;3.1;256;
